time,symbol,timeframe,open,high,low,close,tick_volume,spread,real_volume
2026-01-01 00:00:00+00:00,XAUUSD,M1,2400.0,2400.6301960010164,2399.3128241739155,2400.2637736638035,197.0,20.0,0.0
2026-01-01 00:01:00+00:00,XAUUSD,M1,2400.2637736638035,2400.444344628005,2398.558749819788,2399.451786378811,288.0,20.0,0.0
2026-01-01 00:02:00+00:00,XAUUSD,M1,2399.451786378811,2400.6328616822098,2398.9500846389533,2400.0721473354565,135.0,20.0,0.0
2026-01-01 00:03:00+00:00,XAUUSD,M1,2400.0721473354565,2400.9963207810542,2399.4611509744755,2400.844599108569,447.0,20.0,0.0
2026-01-01 00:04:00+00:00,XAUUSD,M1,2400.844599108569,2401.2047805654856,2398.9966627186786,2399.303770957646,377.0,20.0,0.0
2026-01-01 00:05:00+00:00,XAUUSD,M1,2399.303770957646,2400.1684357614117,2397.4266220924405,2398.2820273521565,392.0,20.0,0.0
2026-01-01 00:06:00+00:00,XAUUSD,M1,2398.2820273521565,2399.3004444763865,2397.9206421868835,2398.4042996746903,126.0,20.0,0.0
2026-01-01 00:07:00+00:00,XAUUSD,M1,2398.4042996746903,2399.110588832342,2397.4935714950316,2398.1713056008152,368.0,20.0,0.0
2026-01-01 00:08:00+00:00,XAUUSD,M1,2398.1713056008152,2398.4921819582446,2397.778636427314,2398.177864674812,426.0,20.0,0.0
2026-01-01 00:09:00+00:00,XAUUSD,M1,2398.177864674812,2398.812379966603,2396.9878834421993,2397.515429532753,128.0,20.0,0.0
2026-01-01 00:10:00+00:00,XAUUSD,M1,2397.515429532753,2398.8885433233045,2396.8536143779847,2398.238947912643,388.0,20.0,0.0
2026-01-01 00:11:00+00:00,XAUUSD,M1,2398.238947912643,2399.2608469018755,2397.7563538836544,2398.881181460986,210.0,20.0,0.0
2026-01-01 00:12:00+00:00,XAUUSD,M1,2398.881181460986,2399.5487613584332,2398.060158083113,2398.954006019035,404.0,20.0,0.0
2026-01-01 00:13:00+00:00,XAUUSD,M1,2398.954006019035,2399.9349174828394,2398.5476001792968,2399.87579898461,265.0,20.0,0.0
2026-01-01 00:14:00+00:00,XAUUSD,M1,2399.87579898461,2400.4975054682236,2399.275787956188,2400.2698064584115,410.0,20.0,0.0
2026-01-01 00:15:00+00:00,XAUUSD,M1,2400.2698064584115,2400.7661315159335,2399.2613644197995,2399.6023724881047,116.0,20.0,0.0
2026-01-01 00:16:00+00:00,XAUUSD,M1,2399.6023724881047,2400.1065617239906,2399.2054393201083,2399.917373115371,225.0,20.0,0.0
2026-01-01 00:17:00+00:00,XAUUSD,M1,2399.917373115371,2400.108393953066,2398.7462244427093,2399.1702670347076,173.0,20.0,0.0
2026-01-01 00:18:00+00:00,XAUUSD,M1,2399.1702670347076,2400.653885922721,2399.013331069142,2399.8930272757534,161.0,20.0,0.0
2026-01-01 00:19:00+00:00,XAUUSD,M1,2399.8930272757534,2400.7837903280347,2399.7451214197645,2399.8730865469647,188.0,20.0,0.0
2026-01-01 00:20:00+00:00,XAUUSD,M1,2399.8730865469647,2400.395660560789,2399.1278302214537,2399.7451966561284,222.0,20.0,0.0
2026-01-01 00:21:00+00:00,XAUUSD,M1,2399.7451966561284,2400.5084059273777,2398.6132629430135,2399.220453020605,107.0,20.0,0.0
2026-01-01 00:22:00+00:00,XAUUSD,M1,2399.220453020605,2401.1102595062216,2398.6069797635264,2400.2184860915445,368.0,20.0,0.0
2026-01-01 00:23:00+00:00,XAUUSD,M1,2400.2184860915445,2400.388842596828,2400.048061027348,2400.1148625058895,297.0,20.0,0.0
2026-01-01 00:24:00+00:00,XAUUSD,M1,2400.1148625058895,2400.5458712771556,2399.4646354318875,2399.7922002481587,423.0,20.0,0.0
2026-01-01 00:25:00+00:00,XAUUSD,M1,2399.7922002481587,2400.175887056624,2399.3123550375976,2399.530493407768,367.0,20.0,0.0
2026-01-01 00:26:00+00:00,XAUUSD,M1,2399.530493407768,2400.0943826473103,2398.819064698606,2399.976340756211,117.0,20.0,0.0
2026-01-01 00:27:00+00:00,XAUUSD,M1,2399.976340756211,2400.9807266545777,2399.194804915024,2400.288696007702,81.0,20.0,0.0
2026-01-01 00:28:00+00:00,XAUUSD,M1,2400.288696007702,2401.0575942702035,2400.02901768706,2400.638882096979,240.0,20.0,0.0
2026-01-01 00:29:00+00:00,XAUUSD,M1,2400.638882096979,2401.452466793447,2400.0212103119584,2401.003538899385,266.0,20.0,0.0
2026-01-01 00:30:00+00:00,XAUUSD,M1,2401.003538899385,2402.9149290078226,2400.8435805164454,2402.7368569800815,158.0,20.0,0.0
2026-01-01 00:31:00+00:00,XAUUSD,M1,2402.7368569800815,2402.940644634478,2402.1478453202126,2402.431724966974,401.0,20.0,0.0
2026-01-01 00:32:00+00:00,XAUUSD,M1,2402.431724966974,2403.2527630458067,2401.8740744619186,2402.041930783717,311.0,20.0,0.0
2026-01-01 00:33:00+00:00,XAUUSD,M1,2402.041930783717,2402.129882509345,2401.119919949509,2401.4109126011185,386.0,20.0,0.0
2026-01-01 00:34:00+00:00,XAUUSD,M1,2401.4109126011185,2402.171620581381,2400.7873865358715,2401.923696139179,99.0,20.0,0.0
2026-01-01 00:35:00+00:00,XAUUSD,M1,2401.923696139179,2403.145124404123,2401.0999182655214,2402.8468739733557,416.0,20.0,0.0
2026-01-01 00:36:00+00:00,XAUUSD,M1,2402.8468739733557,2403.313541884397,2402.553571960496,2402.7757160072315,142.0,20.0,0.0
2026-01-01 00:37:00+00:00,XAUUSD,M1,2402.7757160072315,2403.324194404294,2401.6128236459535,2402.1235908256617,251.0,20.0,0.0
2026-01-01 00:38:00+00:00,XAUUSD,M1,2402.1235908256617,2402.592887305135,2400.837823417052,2401.4840058531086,247.0,20.0,0.0
2026-01-01 00:39:00+00:00,XAUUSD,M1,2401.4840058531086,2402.145978117742,2400.6240217548957,2402.0244800833684,419.0,20.0,0.0
